segment_index,start,end,duration,active_task_count,demand_req,cross_demand_req,required_cross_link_count,cross_link_count,cross_capacity,cross_supply,cross_rate_used,cross_data_used,eta_cap_shortfall,zero_cross_req,zero_cross_demand,eta0_indicator
230,14940.0,15000.0,60.0,1,30.505733396226425,30.505733396226425,1,1,800.0,800.0,208.6,12516.0,0.0,0,0,0
231,15000.0,15060.0,60.0,1,27.080843653846163,27.080843653846163,1,1,800.0,800.0,208.6,12516.0,0.0,0,0,0
232,15060.0,15120.0,60.0,1,23.52164450980393,23.52164450980393,1,1,800.0,800.0,208.6,12516.0,0.0,0,0,0
233,15120.0,15180.0,60.0,1,19.82007740000001,19.82007740000001,1,1,800.0,800.0,208.6,12516.0,0.0,0,0,0
234,15180.0,15240.0,60.0,1,15.967425918367356,15.967425918367356,1,1,800.0,800.0,208.6,12516.0,0.0,0,0,0
235,15240.0,15300.0,60.0,1,11.954247291666677,11.954247291666677,1,1,800.0,800.0,208.6,12516.0,0.0,0,0,0
236,15300.0,15360.0,60.0,2,175.970295106383,175.970295106383,1,1,800.0,800.0,545.0,32700.0,0.0,0,0,0
237,15360.0,15420.0,60.0,2,168.80109862318844,168.80109862318844,1,1,800.0,800.0,493.00387000000046,29580.232200000028,0.0,0,0,0
238,15420.0,15480.0,60.0,1,162.49830508474577,162.49830508474577,1,1,800.0,800.0,336.4,20184.0,0.0,0,0,0
239,15480.0,15540.0,60.0,1,159.5,159.5,1,1,800.0,800.0,336.4,20184.0,0.0,0,0,0
240,15540.0,15600.0,60.0,1,156.39649122807018,156.39649122807018,1,1,800.0,800.0,336.4,20184.0,0.0,0,0,0
241,15600.0,15660.0,60.0,1,153.18214285714285,153.18214285714285,1,1,800.0,800.0,336.4,20184.0,0.0,0,0,0
242,15660.0,15720.0,60.0,1,149.85090909090908,149.85090909090908,1,1,800.0,800.0,336.4,20184.0,0.0,0,0,0
