segment_index,start,end,duration,active_task_count,demand_req,cross_demand_req,required_cross_link_count,cross_link_count,cross_capacity,cross_supply,cross_rate_used,cross_data_used,eta_cap_shortfall,zero_cross_req,zero_cross_demand,eta0_indicator
57,3600.0,3660.0,60.0,6,729.2423554756263,729.2423554756263,1,2,1600.0,1600.0,1283.0,76980.0,0.0,0,0,0
58,3660.0,3720.0,60.0,6,717.340647070208,717.340647070208,1,2,1600.0,1600.0,1283.0,76980.0,0.0,0,0,0
59,3720.0,3780.0,60.0,7,786.7571033445165,786.7571033445165,1,2,1600.0,1600.0,1430.4,85824.0,0.0,0,0,0
60,3780.0,3840.0,60.0,7,772.8148838695053,772.8148838695053,1,2,1600.0,1600.0,1417.9,85074.0,0.0,0,0,0
61,3840.0,3900.0,60.0,7,758.3286499375785,758.3286499375785,1,2,1600.0,1600.0,1417.9,85074.0,0.0,0,0,0
62,3900.0,4020.0,120.0,8,863.081381237138,863.081381237138,2,2,1600.0,1600.0,1583.6,190032.0,0.0,0,0,0
63,4020.0,4080.0,60.0,8,829.8043114125871,829.8043114125871,2,2,1600.0,1600.0,1583.6,95016.0,0.0,0,0,0
64,4080.0,4140.0,60.0,8,811.73020659222,811.73020659222,2,2,1600.0,1600.0,1583.6,95016.0,0.0,0,0,0
65,4140.0,4200.0,60.0,8,792.5692596942797,792.5692596942797,1,2,1600.0,1600.0,1583.6,95016.0,0.0,0,0,0
66,4200.0,4260.0,60.0,8,772.205564699516,772.205564699516,1,2,1600.0,1600.0,1583.6,95016.0,0.0,0,0,0
67,4260.0,4320.0,60.0,8,750.5046522138385,750.5046522138385,1,2,1600.0,1600.0,1583.6,95016.0,0.0,0,0,0
68,4320.0,4380.0,60.0,9,831.8094170880659,831.8094170880659,2,2,1600.0,1600.0,1600.0,96000.0,0.0,0,0,0
69,4380.0,4500.0,120.0,9,809.2165260968748,809.2165260968748,2,2,1600.0,1600.0,1600.0,192000.0,0.0,0,0,0
70,4500.0,4560.0,60.0,9,757.9313856928337,757.9313856928337,1,2,1600.0,1600.0,1600.0,96000.0,0.0,0,0,0
71,4560.0,4620.0,60.0,9,728.7190374497027,728.7190374497027,1,2,1600.0,1600.0,1600.0,96000.0,0.0,0,0,0
72,4620.0,4740.0,120.0,9,697.2011229776236,697.2011229776236,1,2,1600.0,1600.0,1600.0,192000.0,0.0,0,0,0
73,4740.0,4800.0,60.0,9,629.4150892362245,629.4150892362245,1,2,1600.0,1600.0,1600.0,96000.0,0.0,0,0,0
74,4800.0,4860.0,60.0,8,595.6701111850357,595.6701111850357,1,2,1600.0,1600.0,1595.0436216666665,95702.61729999998,0.0,0,0,0
75,4860.0,4920.0,60.0,7,560.3462174344946,560.3462174344946,1,2,1600.0,1600.0,1374.6999999999998,82482.0,0.0,0,0,0
76,4920.0,4980.0,60.0,7,542.4608045425306,542.4608045425306,1,2,1600.0,1600.0,1374.6999999999998,82482.0,0.0,0,0,0
77,4980.0,5040.0,60.0,7,523.5585098349993,523.5585098349993,1,2,1600.0,1600.0,1374.6999999999998,82482.0,0.0,0,0,0
78,5040.0,5100.0,60.0,7,503.53117397736145,503.53117397736145,1,2,1600.0,1600.0,1374.6999999999998,82482.0,0.0,0,0,0
79,5100.0,5160.0,60.0,7,482.2526051667985,482.2526051667985,1,2,1600.0,1600.0,1374.6999999999998,82482.0,0.0,0,0,0
80,5160.0,5220.0,60.0,7,459.5743675086822,459.5743675086822,1,2,1600.0,1600.0,1374.6999999999998,82482.0,0.0,0,0,0
81,5220.0,5280.0,60.0,7,435.32028365108573,435.32028365108573,1,2,1600.0,1600.0,1284.9319349999996,77095.91609999997,0.0,0,0,0
82,5280.0,5340.0,60.0,6,414.2662745778451,414.2662745778451,1,2,1600.0,1600.0,1146.7,68802.0,0.0,0,0,0
83,5340.0,5400.0,60.0,6,399.88725117943574,399.88725117943574,1,2,1600.0,1600.0,1146.7,68802.0,0.0,0,0,0
84,5400.0,5460.0,60.0,6,384.86421726023246,384.86421726023246,1,2,1600.0,1600.0,1146.7,68802.0,0.0,0,0,0
85,5460.0,5520.0,60.0,6,369.14894702659024,369.14894702659024,1,2,1600.0,1600.0,1146.7,68802.0,0.0,0,0,0
86,5520.0,5580.0,60.0,6,352.6879744298423,352.6879744298423,1,2,1600.0,1600.0,1146.7,68802.0,0.0,0,0,0
87,5580.0,5640.0,60.0,6,335.4218326506487,335.4218326506487,1,2,1600.0,1600.0,1146.7,68802.0,0.0,0,0,0
88,5640.0,5700.0,60.0,6,317.28415375908673,317.28415375908673,1,2,1600.0,1600.0,1146.7,68802.0,0.0,0,0,0
89,5700.0,5760.0,60.0,6,298.2005971168494,298.2005971168494,1,2,1600.0,1600.0,1146.7,68802.0,0.0,0,0,0
90,5760.0,5820.0,60.0,6,278.0875666580663,278.0875666580663,1,2,1600.0,1600.0,1002.9483300000002,60176.899800000014,0.0,0,0,0
